ID_Choke,Orifice_ID_gaslift,Qgaslift,CHP,WHP,WHT,TAmbient,FBHP,FBHT,FLP,FLT,DP_Choke,DT_Choke,Qliquid,Qgas,Qoil,Qwater,PReservoir,PI_Liquid,PI_oil
1.590,0.295,1.390,3998.87,404.20,158.76,79.380,4020.35,239.33,392.00,158.58,12.20,0.18,3188.33,0.284,512.68,2675.65,4037.84,182.25,29.31
2.270,0.325,0.520,3932.67,358.56,125.63,79.410,4025.35,239.54,357.81,125.35,0.75,0.28,1543.78,0.149,277.11,1266.67,4033.89,180.77,32.45
1.390,0.335,2.310,3943.11,520.22,165.13,79.750,3933.55,237.83,479.37,164.97,40.85,0.15,4447.61,0.931,1943.16,2504.45,3958.56,177.83,77.69
1.260,0.342,2.690,4184.32,572.65,171.76,79.930,4112.69,240.62,518.20,171.50,54.45,0.26,4076.25,0.284,592.69,3483.57,4135.80,176.42,25.65
1.630,0.317,1.500,3678.40,503.11,150.83,79.590,3684.09,239.78,493.43,150.62,9.68,0.21,3007.99,0.610,1030.84,1977.15,3701.20,175.84,60.26
2.120,0.303,0.320,3948.46,433.24,113.83,79.560,3967.24,241.19,432.68,113.54,0.56,0.28,1281.68,0.313,506.13,775.54,3974.66,172.81,68.24
1.940,0.325,2.400,3871.40,484.97,167.10,80.290,3918.24,238.28,472.95,166.83,12.02,0.28,4455.52,0.759,1781.76,2673.76,3947.86,150.41,60.15
1.190,0.286,1.010,3981.43,541.53,147.12,79.860,3981.69,241.07,516.69,146.82,24.84,0.31,2982.96,0.758,1325.63,1657.33,4002.12,145.98,64.87
1.280,0.284,0.910,3965.11,475.84,154.83,79.750,3924.14,241.34,426.39,154.62,49.45,0.21,4546.03,1.938,3329.51,1216.52,3956.43,140.78,103.11
1.240,0.285,0.240,3625.44,452.12,105.39,79.730,3824.41,237.86,449.29,105.16,2.83,0.23,1191.64,0.387,756.57,435.07,3832.95,139.49,88.56
1.410,0.328,1.750,3845.51,549.77,156.16,80.240,3796.83,239.06,507.03,155.93,42.74,0.23,4915.64,2.244,3836.66,1078.98,3832.63,137.30,107.16
1.630,0.332,2.940,3830.77,489.86,170.66,79.430,3760.25,241.84,467.02,170.40,22.84,0.25,3888.19,0.350,566.51,3321.68,3788.69,136.71,19.92
1.160,0.334,0.980,3854.14,519.20,146.76,80.190,3944.95,238.29,451.91,146.56,67.29,0.20,4769.17,1.983,4325.16,444.01,3980.18,135.36,122.75
1.040,0.318,2.050,3883.71,629.25,145.79,79.280,3725.03,237.97,456.94,145.48,172.31,0.32,5119.66,2.449,5043.89,75.77,3762.93,135.08,133.08
1.020,0.326,0.880,3762.70,580.29,138.04,79.530,3771.85,239.54,512.92,137.82,67.37,0.23,3731.91,1.679,3239.67,492.24,3801.60,125.46,108.91
2.210,0.310,2.040,3832.11,453.87,165.99,79.370,3828.28,241.18,445.68,165.76,8.19,0.22,4423.73,1.129,1977.41,2446.32,3864.97,120.58,53.90
1.560,0.316,0.790,3990.67,372.87,147.79,80.750,4121.93,242.37,365.86,147.53,7.01,0.26,2572.22,0.298,637.65,1934.57,4143.78,117.73,29.19
1.040,0.317,2.490,4014.71,595.95,162.54,80.220,3809.10,237.77,467.57,162.27,128.38,0.27,3890.08,0.828,1340.91,2549.17,3844.36,110.32,38.03
1.980,0.315,0.460,4003.94,511.47,121.46,80.760,4057.51,239.98,510.53,121.12,0.94,0.33,1555.07,0.357,602.90,952.17,4071.73,109.37,42.40
2.120,0.327,0.410,4417.02,375.42,134.93,79.600,4552.07,242.36,374.28,134.67,1.14,0.25,1960.53,0.225,443.28,1517.25,4570.20,108.12,24.45
2.370,0.307,1.270,4065.99,458.07,153.96,80.400,4149.64,237.61,455.92,153.68,2.15,0.28,2778.05,0.149,302.53,2475.52,4175.92,105.72,11.51
2.360,0.336,0.790,4023.23,453.38,145.17,79.520,4130.54,241.11,451.71,144.87,1.67,0.30,2609.97,0.464,850.33,1759.64,4156.31,101.27,32.99
1.530,0.335,2.480,3841.23,427.50,169.38,79.740,3795.12,240.44,393.44,169.18,34.06,0.21,4258.62,0.667,1215.84,3042.78,3837.26,101.07,28.86
1.490,0.327,1.730,3910.22,494.02,161.21,80.780,3879.69,237.96,459.07,160.93,34.95,0.28,4806.19,1.756,3039.92,1766.28,3927.35,100.84,63.78
1.330,0.343,0.790,3553.57,402.37,133.09,79.870,3675.25,239.70,393.29,132.78,9.08,0.31,2055.56,0.345,720.27,1335.29,3695.69,100.57,35.24
1.330,0.327,1.600,3736.46,533.59,151.33,80.230,3772.10,240.87,516.66,151.12,16.93,0.21,2720.28,0.266,562.55,2157.72,3800.47,95.88,19.83
1.960,0.326,1.940,3775.62,393.80,164.96,79.480,3827.67,240.87,384.61,164.77,9.19,0.19,3734.07,0.355,828.96,2905.11,3867.98,92.63,20.56
1.530,0.317,1.450,3749.45,513.24,154.93,79.230,3854.03,242.15,495.20,154.73,18.04,0.20,4021.00,1.174,2476.54,1544.47,3897.59,92.30,56.85
1.500,0.331,0.560,3430.15,375.80,137.92,80.450,3654.90,238.44,355.45,137.72,20.35,0.20,4121.15,1.762,3869.76,251.39,3701.22,88.96,83.54
2.320,0.313,2.530,3729.25,411.26,165.40,79.490,3679.83,238.08,399.87,165.20,11.39,0.20,5081.18,1.730,3027.37,2053.81,3740.49,83.77,49.91
2.330,0.340,1.940,3856.17,405.87,166.98,80.200,3898.97,239.01,398.59,166.75,7.28,0.23,4453.23,0.919,1740.32,2712.91,3952.69,82.89,32.39
2.180,0.284,0.990,3638.89,405.32,140.56,80.020,3707.38,239.57,403.29,140.26,2.03,0.29,2241.62,0.287,537.76,1703.85,3734.77,81.85,19.64
1.110,0.288,0.370,3656.72,484.13,127.21,80.740,3731.94,237.72,459.50,126.94,24.63,0.27,2760.29,1.246,2277.52,482.77,3765.94,81.19,66.99
1.360,0.329,2.710,3815.05,544.91,164.52,80.120,3753.05,239.94,495.46,164.33,49.45,0.18,4484.53,1.095,2282.62,2201.90,3810.74,77.73,39.57
2.210,0.340,2.750,3748.96,414.39,172.01,79.730,3744.14,242.23,403.96,171.81,10.43,0.20,4465.95,0.724,1426.42,3039.53,3804.34,74.19,23.70
2.200,0.338,1.150,3701.22,499.68,146.76,79.240,3908.51,237.77,496.20,146.55,3.48,0.21,3426.88,0.829,1962.23,1464.65,3955.62,72.74,41.65
2.270,0.339,0.460,3829.64,392.93,123.27,79.230,3865.93,241.17,392.13,122.93,0.80,0.34,1610.74,0.334,550.71,1060.03,3889.34,68.79,23.52
1.180,0.310,1.770,3694.90,441.74,155.46,79.510,3680.04,239.26,355.60,155.21,86.14,0.25,4369.01,1.213,2882.67,1486.34,3743.62,68.72,45.34
2.230,0.328,2.020,3982.45,400.41,171.04,80.400,4037.82,240.30,392.92,170.82,7.49,0.23,4260.39,0.478,1006.73,3253.66,4099.96,68.56,16.20
1.230,0.284,0.870,3775.85,403.42,145.01,79.860,3925.30,241.16,381.94,144.80,21.48,0.21,2830.85,0.513,1197.73,1633.12,3967.49,67.10,28.39
1.460,0.307,0.400,3641.05,383.27,137.60,80.070,3692.93,240.34,370.28,137.35,12.99,0.25,3119.03,1.300,2251.94,867.09,3739.49,67.00,48.37
1.330,0.336,0.680,3522.97,463.32,135.70,80.730,3677.12,238.98,445.00,135.48,18.32,0.21,3244.26,1.271,2579.51,664.75,3726.25,66.04,52.51
2.170,0.332,1.080,3666.17,475.54,146.14,79.710,3819.35,240.66,472.48,145.84,3.06,0.30,3018.99,0.693,1463.30,1555.68,3865.96,64.78,31.40
1.590,0.295,1.840,3694.25,453.87,158.55,80.020,3642.06,238.96,428.59,158.31,25.28,0.25,4340.89,1.498,2568.50,1772.38,3709.66,64.22,38.00
1.140,0.304,1.890,3824.33,540.70,157.64,79.630,3799.73,241.47,483.62,157.41,57.08,0.23,3618.53,0.674,1517.25,2101.28,3858.63,61.44,25.76
1.930,0.317,0.520,3734.48,441.78,147.01,79.880,3736.82,240.34,428.54,146.71,13.24,0.30,5115.21,3.037,4979.14,136.06,3820.58,61.07,59.45
2.100,0.306,0.570,3678.59,463.47,136.64,79.620,3956.24,242.24,460.84,136.42,2.63,0.22,2947.71,0.908,2018.00,929.71,4004.73,60.79,41.61
1.880,0.319,3.000,3735.45,382.95,170.34,80.190,3664.56,237.67,362.83,170.08,20.12,0.26,4394.40,0.561,1154.85,3239.55,3739.08,58.97,15.50
2.050,0.284,0.920,4263.76,388.89,157.56,80.250,4339.75,240.45,384.98,157.37,3.91,0.19,3145.80,0.360,660.62,2485.18,4393.79,58.22,12.23
1.890,0.323,0.960,3622.38,396.03,152.93,80.370,3690.31,242.16,381.57,152.71,14.46,0.22,4887.72,2.266,4169.23,718.50,3774.32,58.18,49.63
2.370,0.306,0.020,4196.29,464.57,102.70,79.270,4325.12,240.26,464.32,102.39,0.25,0.31,1157.63,0.460,819.72,337.91,4345.08,57.99,41.06
2.110,0.341,0.500,3441.50,457.69,131.32,80.770,3699.61,238.67,454.23,131.06,3.46,0.26,3381.08,1.447,3077.12,303.96,3757.96,57.95,52.74
1.100,0.325,2.930,3903.44,579.37,162.86,80.490,3718.41,240.81,430.47,162.64,148.90,0.21,4583.56,1.187,2706.14,1877.43,3798.52,57.21,33.78
1.320,0.328,1.930,3897.97,422.34,165.18,79.470,3846.38,239.29,371.16,164.95,51.18,0.23,4080.31,0.765,1349.77,2730.55,3917.98,56.98,18.85
2.050,0.283,0.740,3891.18,356.35,154.64,79.720,4146.88,238.36,349.85,154.46,6.50,0.18,4136.90,1.042,2443.67,1693.23,4221.11,55.73,32.92
1.700,0.296,2.360,3776.19,509.71,162.36,79.340,3674.40,241.52,485.49,162.12,24.22,0.25,4786.23,1.856,3075.63,1710.60,3761.18,55.15,35.44
2.020,0.292,2.810,3738.93,382.66,166.97,80.490,3627.37,242.11,359.77,166.78,22.89,0.18,5592.92,2.073,4087.86,1505.05,3728.99,55.04,40.23
1.000,0.319,1.050,3781.76,519.85,135.16,79.470,3794.72,238.34,495.88,134.83,23.97,0.33,1887.21,0.160,279.68,1607.52,3829.92,53.61,7.94
1.560,0.305,1.480,3572.64,508.72,146.75,80.530,3650.95,237.92,499.45,146.54,9.27,0.21,2755.50,0.460,961.67,1793.83,3702.62,53.33,18.61
1.800,0.307,2.060,3645.93,370.40,163.26,80.170,3631.41,237.80,355.72,163.09,14.68,0.17,3745.98,0.578,1015.16,2730.82,3701.79,53.22,14.42
1.560,0.305,1.170,3806.39,390.19,151.11,79.340,3889.42,238.64,379.60,150.80,10.59,0.31,2909.96,0.355,744.66,2165.30,3946.16,51.28,13.12
1.950,0.326,0.950,3692.44,449.99,145.44,79.910,3823.53,240.61,445.77,145.21,4.22,0.23,2981.05,0.754,1470.55,1510.50,3882.23,50.79,25.05
1.530,0.307,2.480,3826.26,445.31,167.88,80.070,3714.04,240.40,406.24,167.67,39.07,0.20,4558.69,1.219,1974.82,2583.86,3804.48,50.41,21.84
1.170,0.283,2.180,3771.55,455.14,161.17,80.750,3642.01,240.28,361.64,160.98,93.50,0.18,4101.92,0.902,1982.05,2119.87,3726.11,48.78,23.57
2.150,0.339,0.400,3518.38,372.85,124.71,79.560,3684.68,239.20,371.28,124.44,1.57,0.27,2123.97,0.684,1312.19,811.78,3728.37,48.61,30.03
2.260,0.298,0.900,3737.01,364.12,140.00,79.290,3781.00,241.66,362.51,139.66,1.61,0.34,2061.39,0.161,270.87,1790.53,3823.49,48.52,6.38
2.040,0.313,3.000,3776.85,416.05,170.71,79.310,3692.39,239.93,401.50,170.46,14.55,0.25,4462.37,0.706,1363.70,3098.67,3784.38,48.51,14.82
1.000,0.344,1.700,3836.22,644.80,144.49,79.340,3622.32,241.12,440.62,144.16,204.18,0.33,4783.36,2.872,4719.75,63.62,3721.64,48.16,47.52
2.120,0.296,0.600,3482.62,504.53,124.45,80.150,3728.74,242.21,503.14,124.11,1.39,0.33,2116.85,0.633,1392.46,724.39,3773.26,47.55,31.28
1.680,0.328,1.130,3635.74,391.98,153.81,80.110,3754.49,241.80,379.95,153.60,12.03,0.21,3608.31,0.960,1913.12,1695.18,3830.93,47.21,25.03
1.970,0.282,2.620,3747.61,388.25,167.66,80.060,3641.54,237.75,374.26,167.42,13.99,0.24,4130.70,0.612,1119.01,3011.69,3730.27,46.55,12.61
2.080,0.292,2.240,3669.53,494.54,154.17,80.740,3633.91,238.99,480.76,153.89,13.78,0.29,5395.94,2.577,4932.43,463.51,3750.06,46.46,42.47
1.230,0.293,1.400,4019.42,487.64,160.23,79.440,4060.29,241.55,445.88,160.02,41.76,0.21,3891.08,0.804,1699.62,2191.46,4144.36,46.28,20.22
1.360,0.289,0.940,3750.74,556.12,143.87,79.730,3709.78,239.96,521.32,143.67,34.80,0.20,4555.09,2.551,4279.96,275.13,3808.21,46.28,43.48
2.150,0.328,2.020,3632.61,456.91,160.52,79.420,3669.82,241.97,447.16,160.22,9.75,0.30,4687.20,1.593,3095.90,1591.30,3771.44,46.12,30.47
2.150,0.301,2.110,3998.05,489.74,166.75,79.800,4023.97,239.54,483.30,166.52,6.44,0.23,3925.44,0.399,898.93,3026.51,4110.19,45.53,10.43
1.890,0.326,1.340,3583.72,463.42,150.78,80.660,3716.59,239.82,452.02,150.49,11.40,0.28,4608.74,1.760,3781.01,827.73,3818.03,45.43,37.27
2.060,0.296,1.760,3633.61,398.86,158.55,79.810,3682.98,241.76,384.58,158.34,14.28,0.20,5308.01,2.128,4364.25,943.76,3801.15,44.92,36.93
1.060,0.307,1.790,3980.42,490.43,161.16,80.720,3913.96,240.53,412.04,160.98,78.39,0.18,3433.61,0.389,843.98,2589.63,3990.59,44.81,11.01
2.390,0.319,2.960,3713.54,434.44,169.01,79.910,3652.79,239.21,427.18,168.84,7.26,0.18,4033.48,0.447,831.30,3202.18,3743.06,44.68,9.21
1.950,0.297,1.390,3769.36,495.27,154.08,80.710,3846.03,237.99,488.12,153.78,7.15,0.31,3819.43,1.060,2075.86,1743.57,3931.55,44.66,24.27
1.150,0.296,0.370,3953.01,423.94,109.57,79.930,4044.87,240.69,421.07,109.35,2.87,0.22,944.02,0.083,160.58,783.44,4066.02,44.63,7.59
1.700,0.302,0.210,3754.97,379.48,125.35,79.260,3813.92,241.20,376.07,125.15,3.41,0.21,2243.02,0.882,1503.95,739.08,3864.33,44.50,29.84
2.270,0.290,1.520,3865.61,452.35,159.89,79.390,3850.61,237.78,443.35,159.71,9.00,0.18,5070.51,2.132,3560.00,1510.50,3965.21,44.24,31.06
1.650,0.309,2.500,3811.58,475.34,160.88,80.260,3722.48,239.88,434.43,160.62,40.91,0.26,5752.76,2.749,4917.46,835.30,3853.22,44.00,37.61
1.340,0.338,2.620,3677.53,421.41,165.28,80.230,3606.88,237.91,362.54,165.00,58.87,0.28,4016.19,0.619,1253.45,2762.74,3698.57,43.80,13.67
1.980,0.316,1.800,3681.90,468.47,159.81,79.960,3679.03,241.66,458.56,159.62,9.91,0.20,4141.58,1.311,2242.25,1899.33,3774.74,43.27,23.43
1.620,0.326,0.090,4029.21,454.49,99.74,80.670,4407.44,241.59,454.04,99.44,0.45,0.30,889.59,0.260,574.76,314.83,4428.32,42.61,27.53
1.080,0.307,1.770,3889.71,544.87,157.87,79.790,3771.38,241.33,456.16,157.57,88.71,0.30,3883.04,1.148,1990.44,1892.59,3863.11,42.33,21.70
1.930,0.336,2.180,3647.75,512.20,157.26,79.590,3662.47,239.17,498.84,157.06,13.36,0.20,4712.70,1.758,3349.79,1362.91,3774.36,42.12,29.94
1.520,0.308,2.300,3914.58,469.94,168.12,80.650,3877.24,240.65,437.86,167.91,32.08,0.21,4483.16,0.900,1812.54,2670.62,3984.73,41.71,16.86
1.650,0.322,1.670,3644.47,382.56,158.19,79.450,3704.99,239.68,368.72,158.00,13.84,0.20,3375.24,0.402,911.65,2463.59,3785.94,41.69,11.26
1.570,0.317,1.170,3565.73,362.67,148.46,80.740,3660.04,238.44,351.55,148.21,11.12,0.24,2872.84,0.460,975.90,1896.93,3729.91,41.12,13.97
2.260,0.304,1.570,3667.23,493.14,155.06,79.220,3723.80,241.43,486.64,154.84,6.50,0.22,4468.35,1.688,3196.66,1271.69,3832.49,41.11,29.41
1.420,0.327,2.350,3648.02,485.15,161.23,79.990,3638.79,239.42,455.11,161.06,30.04,0.18,3680.00,0.550,1217.71,2462.29,3728.56,40.99,13.56
1.320,0.304,0.790,3944.92,426.81,137.97,80.000,4008.57,239.30,417.91,137.76,8.90,0.21,2094.73,0.233,441.57,1653.16,4059.69,40.98,8.64
2.220,0.289,1.090,3403.81,478.33,139.50,80.040,3638.81,241.73,473.10,139.16,5.23,0.34,4370.81,1.797,4307.44,63.38,3746.25,40.68,40.09
1.520,0.334,0.270,3685.92,375.80,118.17,79.690,3961.73,239.25,372.81,117.80,2.99,0.37,1760.93,0.497,1054.10,706.84,4005.05,40.65,24.33
1.310,0.339,1.340,3907.26,383.74,158.96,80.440,3993.29,238.58,351.94,158.74,31.80,0.22,3535.54,0.451,1079.05,2456.49,4080.56,40.51,12.36
1.190,0.321,0.840,4270.98,468.93,150.79,79.840,4311.77,237.92,444.58,150.59,24.35,0.21,3025.71,0.544,970.04,2055.67,4386.86,40.29,12.92
1.660,0.327,0.280,3580.89,373.37,113.83,80.130,3852.20,238.45,371.67,113.62,1.70,0.21,1517.77,0.418,887.29,630.48,3889.98,40.18,23.49
2.320,0.307,2.680,3607.15,480.31,162.57,79.220,3594.97,239.54,473.82,162.38,6.49,0.19,4028.04,0.680,1639.01,2389.03,3695.43,40.10,16.31
2.230,0.334,1.950,3579.41,383.76,161.59,80.640,3629.47,239.61,377.76,161.41,6.00,0.17,3548.76,0.464,947.52,2601.24,3718.05,40.06,10.70
1.730,0.340,2.420,3830.28,470.95,167.25,79.770,3791.15,239.69,451.20,167.07,19.75,0.17,4305.98,0.944,1546.71,2759.27,3898.98,39.93,14.34
2.340,0.293,0.870,3532.91,409.79,145.90,80.620,3682.42,238.79,404.82,145.67,4.97,0.23,4211.40,1.743,3480.30,731.10,3787.94,39.91,32.98
1.780,0.324,0.730,4186.99,402.30,141.35,79.330,4300.92,238.77,399.38,141.16,2.92,0.19,2188.51,0.153,316.02,1872.49,4356.11,39.66,5.73
1.640,0.324,0.920,3522.56,409.56,141.29,79.490,3710.35,242.22,402.80,141.03,6.76,0.27,2709.17,0.564,1303.92,1405.25,3779.68,39.08,18.81
2.390,0.333,0.430,3479.14,491.31,130.21,80.090,3811.62,239.76,488.79,130.00,2.52,0.21,3716.98,1.629,3711.03,5.95,3908.56,38.34,38.28
1.700,0.294,0.480,3765.22,461.72,113.49,80.030,3855.67,239.78,460.77,113.14,0.95,0.35,1111.69,0.132,245.79,865.90,3884.90,38.04,8.41
2.230,0.332,0.540,3685.54,415.78,145.34,80.150,4029.02,241.24,411.78,145.03,4.00,0.31,4038.34,1.348,3232.69,805.65,4135.74,37.84,30.29
1.920,0.300,1.360,3778.56,443.03,155.76,79.210,3777.68,241.85,422.68,155.58,20.35,0.18,5828.63,3.226,5537.78,290.85,3933.09,37.50,35.63
2.380,0.312,0.920,3848.32,397.40,141.52,80.310,3941.48,238.01,395.97,141.22,1.43,0.31,2206.88,0.168,353.76,1853.11,4001.47,36.79,5.90
1.940,0.338,0.390,3777.85,450.84,135.94,80.520,4048.81,239.69,447.52,135.66,3.32,0.27,3023.32,1.033,2176.18,847.13,4131.28,36.66,26.39
1.760,0.330,2.340,3607.09,386.74,166.39,79.340,3628.63,241.97,366.65,166.13,20.09,0.26,4281.53,0.813,1784.11,2497.42,3745.71,36.57,15.24
1.170,0.326,0.970,3541.78,459.88,140.85,79.450,3648.60,239.04,410.93,140.64,48.95,0.21,3850.34,1.476,3201.17,649.17,3754.47,36.37,30.24
1.920,0.284,1.690,3792.34,475.41,158.80,80.610,3780.64,237.93,465.65,158.61,9.76,0.18,4017.95,1.130,1960.76,2057.19,3891.86,36.12,17.63
1.190,0.296,0.920,3617.86,408.54,133.18,79.430,3670.46,240.11,396.81,132.94,11.73,0.24,1761.36,0.115,222.28,1539.08,3719.29,36.07,4.55
1.650,0.288,0.450,3730.72,366.76,144.47,79.430,3795.84,240.28,354.99,144.19,11.77,0.28,3634.21,1.460,2570.84,1063.37,3898.89,35.27,24.95
1.910,0.306,0.780,3676.25,497.36,142.64,80.010,3776.45,240.51,491.15,142.34,6.21,0.30,3690.95,1.540,2861.96,828.99,3882.52,34.80,26.98
1.490,0.283,1.230,3628.49,503.27,147.79,80.730,3613.41,239.40,484.06,147.56,19.21,0.23,3750.44,1.526,2609.56,1140.88,3721.33,34.75,24.18
2.320,0.294,2.930,3713.15,372.62,169.95,79.760,3608.43,240.34,364.38,169.68,8.24,0.27,3856.34,0.196,471.24,3385.10,3719.59,34.69,4.24
1.630,0.320,2.090,3718.34,488.75,156.68,80.010,3647.46,240.55,451.28,156.45,37.47,0.23,5513.28,2.992,4953.68,559.60,3807.37,34.48,30.98
1.700,0.331,1.320,3570.50,451.17,150.89,80.590,3578.71,237.81,432.90,150.68,18.27,0.21,4478.69,2.108,3583.40,895.29,3709.43,34.26,27.41
1.920,0.323,2.970,3677.84,422.50,167.95,79.820,3611.10,238.81,404.21,167.80,18.29,0.15,4534.46,0.999,1871.83,2662.63,3743.50,34.25,14.14
1.850,0.320,2.140,3634.22,422.95,158.98,80.450,3572.95,239.83,396.40,158.69,26.55,0.28,5452.79,2.848,4619.61,833.19,3733.50,33.96,28.77
1.230,0.315,2.230,3899.95,494.86,165.02,79.620,3760.94,242.21,401.79,164.76,93.07,0.27,4647.54,1.485,2568.69,2078.84,3898.15,33.87,18.72
1.270,0.333,0.730,3959.56,450.50,145.65,79.850,4051.29,241.58,431.95,145.32,18.55,0.33,2970.58,0.739,1411.92,1558.66,4139.68,33.61,15.97
1.250,0.328,1.280,3666.34,490.10,147.00,80.240,3675.12,240.20,466.86,146.79,23.24,0.21,2845.59,0.622,1108.93,1736.66,3760.71,33.25,12.96
1.080,0.313,0.590,3852.17,477.51,119.76,79.960,3931.38,238.10,470.04,119.46,7.47,0.30,1329.84,0.130,256.13,1073.71,3971.62,33.05,6.37
1.110,0.303,2.750,4236.75,531.70,171.41,80.450,4032.30,238.25,396.37,171.19,135.33,0.22,4309.97,0.449,903.37,3406.60,4163.47,32.86,6.89
1.720,0.295,2.670,3631.67,453.89,163.90,79.350,3564.07,241.94,433.30,163.62,20.59,0.29,4266.37,0.866,2004.77,2261.60,3694.05,32.82,15.42
2.140,0.281,0.680,3736.70,490.48,122.80,79.800,3867.65,240.00,489.72,122.47,0.76,0.33,1452.44,0.137,315.76,1136.68,3912.47,32.40,7.04
1.490,0.297,0.650,3979.63,412.34,136.42,80.560,4109.52,240.52,407.30,136.19,5.04,0.23,2071.68,0.277,562.26,1509.43,4174.11,32.07,8.70
1.810,0.308,2.520,3781.39,531.60,158.26,79.930,3761.52,240.04,510.84,157.97,20.76,0.29,5454.49,2.073,4573.59,880.90,3932.31,31.94,26.78
1.800,0.298,1.510,3508.01,424.36,150.70,80.610,3586.27,241.93,404.91,150.40,19.45,0.30,5202.13,2.372,4952.95,249.18,3749.73,31.83,30.30
2.240,0.310,0.940,3624.07,476.33,145.17,80.330,3627.82,237.97,468.82,144.88,7.51,0.29,4814.86,2.791,4609.27,205.59,3779.56,31.73,30.38
